IDXCode,Company_Name,symbol,shortName,longName,original_index,reference_riskLevel,predicted_riskLevel,predicted_riskLevel_encoded,proba_High Risk,proba_Low Risk,proba_Medium Risk,max_proba,margin,entropy_norm,is_uncertain_max_proba,is_uncertain_margin,is_uncertain_entropy,is_uncertain
I410.JK,Company I410in Real Estate Services,IPAC.JK,Era Graharealty Tbk.,PT Era Graharealty Tbk,409,High Risk,Low Risk,1,0.3408325,0.5021604,0.15700708,0.5021604,0.16132787,0.9133877229446774,True,False,True,True
O611.JK,Company O611in Specialty Chemicals,OBMD.JK,OBM Drilchem Tbk.,PT OBM Drilchem Tbk,610,Medium Risk,Medium Risk,2,0.16572787,0.25772655,0.57654554,0.57654554,0.318819,0.8782214843982362,True,False,True,True
A057.JK,Company A057in Information Technology Services,AREA.JK,Dunia Virtual Online Tbk.,,56,Low Risk,Low Risk,1,0.24753202,0.58077717,0.17169087,0.58077717,0.33324516,0.8772202721179526,True,False,True,True
K444.JK,Company K444in Electrical Equipment & Parts,KBLM.JK,Kabelindo Murni Tbk,PT Kabelindo Murni Tbk,443,Medium Risk,Medium Risk,2,0.1783284,0.22698227,0.5946893,0.5946893,0.36770704,0.8675662289211564,True,False,True,True
E297.JK,Company E297in Textile Manufacturing,ESTI.JK,Ever Shine Tex Tbk.,PT Ever Shine Tex Tbk,296,Medium Risk,Medium Risk,2,0.10023099,0.43752107,0.4622479,0.4622479,0.024726838,0.8637467131233906,True,True,True,True
T800.JK,Company T800in Metal Fabrication,TBMS.JK,Tembaga Mulia Semanan Tbk,PT Tembaga Mulia Semanan Tbk,799,Medium Risk,Medium Risk,2,0.09899191,0.43276218,0.46824586,0.46824586,0.035483688,0.8617185719365713,True,True,True,True
P644.JK,Company P644in Engineering & Construction,PKPK.JK,Paragon Karya Perkasa Tbk.,PT Paragon Karya Perkasa Tbk,643,Medium Risk,Low Risk,1,0.0958146,0.47394994,0.43023545,0.47394994,0.043714494,0.856957957828748,True,True,True,True
S731.JK,Company S731in Asset Management,SFAN.JK,Surya Fajar Capital Tbk.,PT Surya Fajar Capital Tbk,730,High Risk,High Risk,0,0.5895635,0.1335571,0.2768794,0.5895635,0.3126841,0.851939417895604,True,False,True,True
P657.JK,Company P657in Real Estate - Development,POLL.JK,Pollux Properties Indonesia Tbk,PT Pollux Properties Indonesia Tbk,656,Medium Risk,Low Risk,1,0.09913612,0.5307962,0.3700677,0.5307962,0.16072848,0.8494322095994911,True,False,True,True
T820.JK,Company T820in Integrated Freight & Logistics,TNCA.JK,Trimuda Nuansa Citra Tbk.,PT Trimuda Nuansa Citra Tbk,819,Medium Risk,Medium Risk,2,0.08299574,0.40800703,0.50899726,0.50899726,0.100990236,0.8338449500940603,True,True,True,True
I397.JK,Company I397in Marine Shipping,INDX.JK,Tanah Laut Tbk,PT Tanah Laut Tbk,396,Medium Risk,Low Risk,1,0.08955261,0.54620665,0.3642407,0.54620665,0.18196595,0.8322028295734498,True,False,True,True
R711.JK,Company R711in Engineering & Construction,RONY.JK,Aesler Grup Internasional Tbk.,PT Aesler Grup Internasional Tbk,710,Medium Risk,Medium Risk,2,0.09161906,0.34508756,0.56329334,0.56329334,0.21820578,0.8278110917143341,True,False,True,True
O609.JK,Company O609in Utilities - Renewable,OASA.JK,Maharaksa Biru Energi Tbk.,PT Maharaksa Biru Energi Tbk,608,High Risk,High Risk,0,0.625386,0.23740119,0.1372128,0.625386,0.3879848,0.8260116331850088,False,False,True,True
K440.JK,Company K440in Medical Distribution,KAEF.JK,Kimia Farma Tbk.,PT Kimia Farma Tbk,439,High Risk,High Risk,0,0.63288236,0.21425259,0.15286507,0.63288236,0.41862977,0.8253263990298131,False,False,True,True
M536.JK,Company M536in Credit Services,MFIN.JK,Mandala Multifinance Tbk,PT Mandala Multifinance Tbk,535,Medium Risk,Medium Risk,2,0.38431332,0.07350577,0.5421809,0.5421809,0.15786758,0.8112922284338546,True,False,True,True
T842.JK,Company T842in Insurance - Diversified,TUGU.JK,Asuransi Tugu Pratama Indonesia,PT Asuransi Tugu Pratama Indonesia Tbk,841,Medium Risk,Medium Risk,2,0.38431332,0.07350577,0.5421809,0.5421809,0.15786758,0.8112922284338546,True,False,True,True
L502.JK,Company L502in Specialty Chemicals,LTLS.JK,Lautan Luas Tbk,PT Lautan Luas Tbk,501,Medium Risk,Medium Risk,2,0.33029845,0.070946,0.59875554,0.59875554,0.26845708,0.7834477412501988,True,False,False,True
D247.JK,Company D247in Home Improvement Retail,DEPO.JK,Caturkarda Depo Bangunan Tbk.,PT Caturkarda Depo Bangunan Tbk,246,Medium Risk,Medium Risk,2,0.34160188,0.06579405,0.59260404,0.59260404,0.25100216,0.7791881673184035,True,False,False,True
B109.JK,Company B109in Banks - Regional,BBSI.JK,Krom Bank Indonesia Tbk.,PT Krom Bank Indonesia Tbk,108,Medium Risk,Medium Risk,2,0.339075,0.06333578,0.5975892,0.5975892,0.2585142,0.7729330048912469,True,False,False,True
P650.JK,Company P650in Banks - Regional,PNBS.JK,Bank Panin Dubai Syariah Tbk.,PT Bank Panin Dubai Syariah Tbk,649,Medium Risk,Medium Risk,2,0.339075,0.06333578,0.5975892,0.5975892,0.2585142,0.7729330048912469,True,False,False,True
A018.JK,Company A018in Banks - Regional,AGRO.JK,Bank Raya Indonesia Tbk.,PT Bank Raya Indonesia Tbk,17,Medium Risk,Medium Risk,2,0.33932248,0.06265222,0.5980253,0.5980253,0.25870284,0.7716604659276589,True,False,False,True
